,Id,LotArea,LotShape,BsmtExposure,BsmtFinType1,BsmtFinSF1,CentralAir,Electrical,2ndFlrSF,BsmtFullBath,HalfBath,FireplaceQu,GarageFinish,PavedDrive,WoodDeckSF,OpenPorchSF
0,1,8450,0,0,0,706,0,0,854,1,1,-1,0,0,0,61
1,2,9600,0,1,1,978,0,0,0,0,0,0,0,0,298,0
2,3,11250,1,2,0,486,0,0,866,1,1,0,0,0,0,42
3,4,9550,1,0,1,216,0,0,756,1,0,1,1,0,0,35
4,5,14260,1,3,0,655,0,0,1053,1,1,0,0,0,192,84
5,6,14115,1,0,0,732,0,0,566,1,1,-1,1,0,40,30
6,7,10084,0,3,0,1369,0,0,0,1,0,1,0,0,255,57
7,8,10382,1,2,1,859,0,0,983,1,1,0,0,0,235,204
8,9,6120,0,0,2,0,0,1,752,0,0,0,1,0,90,0
9,10,7420,0,0,0,851,0,0,0,1,0,0,0,0,0,4
10,11,11200,0,0,3,906,0,0,0,1,0,-1,1,0,0,0
11,12,11924,1,0,0,998,0,0,1142,1,0,1,2,0,147,21
12,13,12968,2,0,1,737,0,0,0,1,0,-1,1,0,140,0
13,14,10652,1,3,2,0,0,0,0,0,0,1,0,0,160,33
14,15,10920,1,0,4,733,0,0,0,1,1,2,0,0,0,213
15,16,6120,0,0,2,0,0,2,0,0,0,-1,1,0,48,112
16,17,11241,1,0,1,578,0,0,0,1,0,0,2,0,0,0
17,18,10791,0,-1,-1,0,0,0,0,0,0,-1,1,0,0,0
18,19,13695,0,0,0,646,0,0,0,1,1,-1,1,0,0,102
19,20,7560,0,0,5,504,0,0,0,0,0,-1,1,0,0,0
20,21,14215,1,3,2,0,0,0,1218,0,1,1,0,0,240,154
21,22,7449,0,0,2,0,0,1,0,0,0,1,1,1,0,0
22,23,9742,0,0,2,0,0,0,0,0,0,1,0,0,171,159
23,24,4224,0,0,0,840,0,0,0,1,0,0,1,0,100,110
24,25,8246,1,2,3,188,0,0,0,1,0,0,1,0,406,90
25,26,14230,0,0,2,0,0,0,0,0,0,1,0,0,0,56
26,27,7200,0,2,4,234,0,0,0,0,0,-1,1,0,222,32
27,28,11478,0,0,0,1218,0,0,0,1,0,1,0,0,0,50
28,29,16321,1,1,4,1277,0,0,0,1,0,1,0,0,288,258
29,30,6324,1,0,2,0,1,0,0,0,0,-1,1,0,49,0
30,31,8500,0,0,2,0,1,0,668,0,0,-1,1,1,0,54
31,32,8544,1,0,2,0,0,0,0,0,1,-1,1,0,0,65
32,33,11049,0,3,2,0,0,0,0,0,0,-1,0,0,0,30
33,34,10552,1,0,3,1018,0,0,0,0,1,1,0,0,0,38
34,35,7313,0,0,0,1153,0,0,0,1,0,1,2,0,203,47
35,36,13418,0,3,2,0,0,0,1320,0,1,1,2,0,113,32
36,37,10859,0,0,2,0,0,0,0,0,1,-1,1,0,392,64
37,38,8532,0,0,3,1213,0,0,0,0,0,0,2,0,0,0
38,39,7922,0,0,0,731,0,0,0,1,0,-1,1,0,0,52
39,40,6040,0,-1,-1,0,1,3,0,0,0,-1,-1,1,0,0
40,41,8658,0,0,3,643,0,0,0,0,0,0,0,0,0,138
41,42,16905,0,1,4,967,0,0,0,0,1,1,0,2,0,104
42,43,9180,1,3,1,747,0,0,0,1,0,-1,0,0,240,0
43,44,9200,1,3,5,280,0,0,0,1,0,-1,1,0,145,0
44,45,7945,0,0,1,179,0,2,0,1,0,-1,0,0,0,0
45,46,7658,0,0,0,456,0,0,0,1,0,1,0,0,196,82
46,47,12822,1,0,0,1351,0,0,631,1,1,3,0,0,168,43
47,48,11096,0,3,0,24,0,0,0,0,0,-1,0,0,0,146
48,49,4456,0,0,2,0,0,0,716,0,0,-1,-1,1,0,0
49,50,7742,0,0,4,763,0,0,0,1,0,-1,1,0,0,0
50,51,13869,2,3,0,182,0,0,676,0,0,-1,2,0,0,75
51,52,6240,0,0,2,0,0,0,0,0,0,1,1,0,112,0
52,53,8472,2,1,5,104,1,0,0,1,0,-1,1,0,106,0
53,54,50271,1,1,0,1810,0,0,0,2,1,1,2,0,857,72
54,55,7134,0,0,1,384,0,0,0,0,0,0,1,0,0,50
55,56,10175,1,0,4,490,0,0,0,0,0,1,0,0,0,0
56,57,2645,0,0,0,649,0,0,756,1,1,-1,2,0,115,0
57,58,11645,1,0,2,0,0,0,860,0,1,-1,0,0,0,70
58,59,13682,2,1,2,0,0,0,1519,0,1,1,2,0,192,0
59,60,7200,0,3,1,632,0,0,0,0,0,-1,1,0,196,0
60,61,13072,0,0,1,941,0,0,0,1,1,-1,1,0,0,50
61,62,7200,0,0,2,0,1,0,530,0,0,-1,1,1,0,0
