Id,MSSubClass,LotArea,Alley,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,GrLivArea,BsmtFullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageFinish,GarageCars,GarageArea,PoolQC,MiscFeature,MoSold,YrSold
1,60,8450,NA,CollgCr,7,5,2003,2003,706,150,856,1710,1,3,1,8,0,RFn,2,548,NA,NA,2,2008
2,20,9600,NA,Veenker,6,8,1976,1976,978,284,1262,1262,0,3,1,6,1,RFn,2,460,NA,NA,5,2007
3,60,11250,NA,CollgCr,7,5,2001,2002,486,434,920,1786,1,3,1,6,1,RFn,2,608,NA,NA,9,2008
4,70,9550,NA,Crawfor,7,5,1915,1970,216,540,756,1717,1,3,1,7,1,Unf,3,642,NA,NA,2,2006
5,60,14260,NA,NoRidge,8,5,2000,2000,655,490,1145,2198,1,4,1,9,1,RFn,3,836,NA,NA,12,2008
6,50,14115,NA,Mitchel,5,5,1993,1995,732,64,796,1362,1,1,1,5,0,Unf,2,480,NA,Shed,10,2009
7,20,10084,NA,Somerst,8,5,2004,2005,1369,317,1686,1694,1,3,1,7,1,RFn,2,636,NA,NA,8,2007
8,60,10382,NA,NWAmes,7,6,1973,1973,859,216,1107,2090,1,3,1,7,2,RFn,2,484,NA,Shed,11,2009
9,50,6120,NA,OldTown,7,5,1931,1950,0,952,952,1774,0,2,2,8,2,Unf,2,468,NA,NA,4,2008
10,190,7420,NA,BrkSide,5,6,1939,1950,851,140,991,1077,1,2,2,5,2,RFn,1,205,NA,NA,1,2008
11,20,11200,NA,Sawyer,5,5,1965,1965,906,134,1040,1040,1,3,1,5,0,Unf,1,384,NA,NA,2,2008
12,60,11924,NA,NridgHt,9,5,2005,2006,998,177,1175,2324,1,4,1,11,2,Fin,3,736,NA,NA,7,2006
13,20,12968,NA,Sawyer,5,6,1962,1962,737,175,912,912,1,2,1,4,0,Unf,1,352,NA,NA,9,2008
14,20,10652,NA,CollgCr,7,5,2006,2007,0,1494,1494,1494,0,3,1,7,1,RFn,3,840,NA,NA,8,2007
15,20,10920,NA,NAmes,6,5,1960,1960,733,520,1253,1253,1,2,1,5,1,RFn,1,352,NA,NA,5,2008
16,45,6120,NA,BrkSide,7,8,1929,2001,0,832,832,854,0,2,1,5,0,Unf,2,576,NA,NA,7,2007
17,20,11241,NA,NAmes,6,7,1970,1970,578,426,1004,1004,1,2,1,5,1,Fin,2,480,NA,Shed,3,2010
18,90,10791,NA,Sawyer,4,5,1967,1967,0,0,0,1296,0,2,2,6,0,Unf,2,516,NA,Shed,10,2006
19,20,13695,NA,SawyerW,5,5,2004,2004,646,468,1114,1114,1,3,1,6,0,Unf,2,576,NA,NA,6,2008
20,20,7560,NA,NAmes,5,6,1958,1965,504,525,1029,1339,0,3,1,6,0,Unf,1,294,NA,NA,5,2009
21,60,14215,NA,NridgHt,8,5,2005,2006,0,1158,1158,2376,0,4,1,9,1,RFn,3,853,NA,NA,11,2006
22,45,7449,Grvl,IDOTRR,7,7,1930,1950,0,637,637,1108,0,3,1,6,1,Unf,1,280,NA,NA,6,2007
23,20,9742,NA,CollgCr,8,5,2002,2002,0,1777,1777,1795,0,3,1,7,1,RFn,2,534,NA,NA,9,2008
24,120,4224,NA,MeadowV,5,7,1976,1976,840,200,1040,1060,1,3,1,6,1,Unf,2,572,NA,NA,6,2007
25,20,8246,NA,Sawyer,5,8,1968,2001,188,204,1060,1060,1,3,1,6,1,Unf,1,270,NA,NA,5,2010
26,20,14230,NA,NridgHt,8,5,2007,2007,0,1566,1566,1600,0,3,1,7,1,RFn,3,890,NA,NA,7,2009
27,20,7200,NA,NAmes,5,7,1951,2000,234,180,900,900,0,3,1,5,0,Unf,2,576,NA,NA,5,2010
28,20,11478,NA,NridgHt,8,5,2007,2008,1218,486,1704,1704,1,3,1,7,1,RFn,3,772,NA,NA,5,2010
29,20,16321,NA,NAmes,5,6,1957,1997,1277,207,1484,1600,1,2,1,6,2,RFn,1,319,NA,NA,12,2006
30,30,6324,NA,BrkSide,4,6,1927,1950,0,520,520,520,0,1,1,4,0,Unf,1,240,NA,NA,5,2008
31,70,8500,Pave,IDOTRR,4,4,1920,1950,0,649,649,1317,0,3,1,6,0,Unf,1,250,NA,NA,7,2008
